iso_639_1,english_name,name
ay,Aymara,
ch,Chamorro,Finu' Chamorro
fj,Fijian,
it,Italian,Italiano
nv,Navajo,
qu,Quechua,
ru,Russian,Pусский
sc,Sardinian,
sw,Swahili,Kiswahili
tn,Tswana,
ur,Urdu,اردو
ho,Hiri Motu,
km,Khmer,
kj,Kuanyama,
tt,Tatar,
ps,Pushto,پښتو
cn,Cantonese,广州话 / 廣州話
mk,Macedonian,
yo,Yoruba,Èdè Yorùbá
fo,Faroese,
ff,Fulah,Fulfulde
ig,Igbo,
io,Ido,
id,Indonesian,Bahasa indonesia
ko,Korean,한국어/조선말
mo,Moldavian,
nr,Ndebele,
pi,Pali,
so,Somali,Somali
sq,Albanian,shqip
ta,Tamil,தமிழ்
tl,Tagalog,
th,Thai,ภาษาไทย
ve,Venda,
vo,Volapük,
cu,Slavic,
kw,Cornish,
fr,French,Français
fy,Frisian,
ht,Haitian; Haitian Creole,
ie,Interlingue,
ia,Interlingua,
mh,Marshall,
rn,Rundi,Kirundi
se,Northern Sami,
gd,Gaelic,
ii,Yi,
lo,Lao,
la,Latin,Latin
ny,Chichewa; Nyanja,
oj,Ojibwa,
ab,Abkhazian,
ar,Arabic,العربية
ee,Ewe,Èʋegbe
hi,Hindi,हिन्दी
an,Aragonese,
ba,Bashkir,
bn,Bengali,বাংলা
bi,Bislama,
et,Estonian,Eesti
eu,Basque,euskera
gl,Galician,Galego
ha,Hausa,Hausa
hz,Herero,
iu,Inuktitut,
jv,Javanese,
kr,Kanuri,
mn,Mongolian,
my,Burmese,
na,Nauru,
pt,Portuguese,Português
sd,Sindhi,
zu,Zulu,isiZulu
ak,Akan,
hu,Hungarian,Magyar
ik,Inupiaq,
ks,Kashmiri,
ka,Georgian,ქართული
lg,Ganda,
oc,Occitan,
uz,Uzbek,ozbek
xh,Xhosa,
za,Zhuang,
zh,Mandarin,普通话
el,Greek,ελληνικά
ga,Irish,Gaeilge
gn,Guarani,
gu,Gujarati,
kl,Kalaallisut,
kn,Kannada,?????
ky,Kirghiz,??????
nl,Dutch,Nederlands
sl,Slovenian,Slovenščina
sr,Serbian,Srpski
ss,Swati,
ug,Uighur,
bg,Bulgarian,български език
co,Corsican,
cy,Welsh,Cymraeg
dv,Divehi,
ki,Kikuyu,
mt,Maltese,Malti
ne,Nepali,
si,Sinhalese,සිංහල
sn,Shona,
su,Sundanese,
to,Tonga,
wa,Walloon,
cr,Cree,
fi,Finnish,suomi
hr,Croatian,Hrvatski
mg,Malagasy,
nb,Norwegian Bokmål,Bokmål
ts,Tsonga,
vi,Vietnamese,Tiếng Việt
hy,Armenian,
av,Avaric,
az,Azerbaijani,Azərbaycan
gv,Manx,
sh,Serbo-Croatian,
lv,Latvian,Latviešu
mr,Marathi,
pl,Polish,Polski
rm,Raeto-Romance,
tr,Turkish,Türkçe
xx,No Language,No Language
ca,Catalan,Català
de,German,Deutsch
rw,Kinyarwanda,Kinyarwanda
ln,Lingala,
ro,Romanian,Română
ty,Tahitian,
ti,Tigrinya,
he,Hebrew,עִבְרִית
as,Assamese,
bo,Tibetan,
dz,Dzongkha,
eo,Esperanto,Esperanto
ja,Japanese,日本語
ng,Ndonga,
no,Norwegian,Norsk
pa,Punjabi,ਪੰਜਾਬੀ
sa,Sanskrit,
am,Amharic,
fa,Persian,فارسی
aa,Afar,
ae,Avestan,
br,Breton,
is,Icelandic,Íslenska
kk,Kazakh,қазақ
lt,Lithuanian,Lietuvių
mi,Maori,
ms,Malay,Bahasa melayu
or,Oriya,
st,Sotho,
tk,Turkmen,
af,Afrikaans,Afrikaans
bm,Bambara,Bamanankan
bs,Bosnian,Bosanski
cs,Czech,Český
ce,Chechen,
kv,Komi,
lb,Letzeburgesch,
nd,Ndebele,
sk,Slovak,Slovenčina
sm,Samoan,
tg,Tajik,
wo,Wolof,Wolof
yi,Yiddish,
be,Belarusian,беларуская мова
cv,Chuvash,
da,Danish,Dansk
en,English,English
kg,Kongo,
ku,Kurdish,
li,Limburgish,
lu,Luba-Katanga,
ml,Malayalam,
nn,Norwegian Nynorsk,
om,Oromo,
os,Ossetian; Ossetic,
sg,Sango,
es,Spanish,Español
sv,Swedish,svenska
te,Telugu,తెలుగు
tw,Twi,
uk,Ukrainian,Український
